student_name,country,university_ranking_band,university_name,specialization,industry,company_name
Jack I. Martin,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Consulting,KPMG
Kathleen H. Martinez,UK,300+,Imperial Higher Learning Center,Data Science,Consulting,McKinsey & Company
Jeffrey I. Smith,UK,100-300,Northern State University,Cybersecurity,Healthcare,Medtronic
Dorothy C. Jackson,UK,100-300,Northern State University,AI/ML,Tech,Tesla
Justin H. Anderson,USA,100-300,Western State University,Data Science,Consulting,BCG
Robert G. Nguyen,Germany,300+,Berlin Regional University,Core CS,Consulting,PwC
Benjamin B. Evans,India,300+,Technical Technology and Science,Core CS,Manufacturing,General Electric
Scott C. Reed,Canada,300+,Northern Community College,AI/ML,Consulting,KPMG
Greta M. Davis,India,100-300,Delhi Technology and Science,Cloud,Consulting,Capgemini
Kathleen Q. Murphy,Germany,Top 100,Technical Technical University of Excellence,Data Science,Other,Local Startup
Matthew G. James,USA,Top 100,Federal Research University,Cloud,Healthcare,Merck
Tyler H. Kelly,USA,100-300,Western State University,Data Science,Other,Educational Institution
Christopher T. Reyes,Germany,Top 100,Technical Technical University of Excellence,Cloud,Manufacturing,Siemens
Frank W. Thomas,Canada,100-300,Great Lakes Polytechnic Institute,Data Science,Manufacturing,BMW
Samuel B. Mendoza,Germany,Top 100,Technical Technical University of Excellence,AI/ML,Other,Global Logistics
Barbara H. Adams,USA,100-300,Western State University,Cybersecurity,Consulting,Deloitte
Robert W. Stewart,USA,100-300,Western State University,Data Science,Tech,Apple
Matthew K. Hernandez,India,100-300,Delhi Technology and Science,Core CS,Other,Educational Institution
Christopher U. Thompson,Canada,300+,Northern Community College,Data Science,Finance,General Corp
Jonathan W. Hughes,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Tech,Amazon
Scott I. Patel,USA,300+,Eastern Community College,Data Science,Tech,NVIDIA
Jason Q. Watson,Germany,Top 100,Technical Technical University of Excellence,AI/ML,Tech,NVIDIA
Amanda O. Morris,USA,100-300,Western State University,Data Science,Consulting,McKinsey & Company
Jack L. Kelly,India,300+,Technical Technology and Science,Cybersecurity,Manufacturing,Toyota
Michael N. Gutierrez,Germany,100-300,Frankfurt Applied Science University,Cloud,Healthcare,Novartis
Nancy A. Davis,USA,300+,Eastern Community College,Core CS,Manufacturing,Toyota
Jessica E. Mendoza,Canada,Top 100,Northern University of Excellence,Cloud,Consulting,Capgemini
Susan P. Reed,India,100-300,Delhi Technology and Science,Core CS,Manufacturing,Honda
Kathleen U. Myers,USA,Top 100,Federal Research University,Cybersecurity,Consulting,Capgemini
Mary P. Thompson,USA,100-300,Western State University,AI/ML,Tech,NVIDIA
Linda L. Hall,UK,300+,Imperial Higher Learning Center,AI/ML,Finance,General Corp
Hans A. Morales,Germany,100-300,Frankfurt Applied Science University,Core CS,Manufacturing,Siemens
Ashley G. Stewart,UK,Top 100,Northern Research University,Data Science,Finance,General Corp
Amy B. Evans,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Other,Non-Profit Org
Jennifer G. Miller,Germany,300+,Berlin Regional University,Cybersecurity,Finance,General Corp
Brandon Y. Murphy,India,100-300,Delhi Technology and Science,Cybersecurity,Finance,General Corp
Ronald H. Ross,Germany,Top 100,Technical Technical University of Excellence,Cloud,Consulting,Deloitte
Hiroshi I. Campbell,USA,Top 100,Federal Research University,Cloud,Healthcare,Mayo Clinic
Hans C. Flores,USA,100-300,Western State University,Cybersecurity,Manufacturing,Siemens
Susan M. Price,USA,100-300,Western State University,Cybersecurity,Tech,Apple
Kevin S. Perez,Germany,300+,Berlin Regional University,Cloud,Finance,General Corp
Lisa T. Cooper,USA,300+,Eastern Community College,Core CS,Consulting,Capgemini
Brian H. Collins,USA,300+,Eastern Community College,Cloud,Healthcare,Novartis
Sarah J. Mendoza,UK,100-300,Northern State University,Data Science,Healthcare,Pfizer
Michael W. Flores,USA,Top 100,Federal Research University,Cybersecurity,Finance,General Corp
Stephen M. White,UK,100-300,Northern State University,Core CS,Consulting,Accenture
Carol S. Robinson,Canada,100-300,Great Lakes Polytechnic Institute,Core CS,Manufacturing,Samsung
Helen M. Gomez,Germany,300+,Berlin Regional University,Cloud,Healthcare,Medtronic
Ashley N. Mitchell,UK,Top 100,Northern Research University,Core CS,Other,Non-Profit Org
Elizabeth B. Lee,Germany,100-300,Frankfurt Applied Science University,AI/ML,Healthcare,Pfizer
Emma C. Martinez,Germany,300+,Berlin Regional University,Cloud,Finance,General Corp
Samuel N. Hernandez,India,100-300,Delhi Technology and Science,Cloud,Consulting,PwC
Larry R. Perez,UK,100-300,Northern State University,Cloud,Consulting,KPMG
Stephen Y. Allen,USA,100-300,Western State University,Data Science,Consulting,EY
Ronald A. Patel,India,100-300,Delhi Technology and Science,AI/ML,Consulting,Accenture
Mary Y. Lopez,UK,100-300,Northern State University,Core CS,Other,Retail Corp
Charles X. Martinez,UK,Top 100,Northern Research University,Cybersecurity,Finance,General Corp
Betty M. Rogers,Canada,Top 100,Northern University of Excellence,AI/ML,Finance,General Corp
Rebecca O. Taylor,USA,Top 100,Federal Research University,Cloud,Healthcare,Pfizer
Eric I. Jackson,Canada,100-300,Great Lakes Polytechnic Institute,Cybersecurity,Healthcare,Mayo Clinic
David A. Nguyen,Germany,300+,Berlin Regional University,Cloud,Manufacturing,BMW
Karen B. Watson,USA,100-300,Western State University,Data Science,Tech,Oracle
Jerry K. Carter,Canada,100-300,Great Lakes Polytechnic Institute,Cloud,Healthcare,Pfizer
Jonathan S. Sanders,Canada,100-300,Great Lakes Polytechnic Institute,AI/ML,Finance,General Corp
Kevin Q. Martin,USA,100-300,Western State University,Data Science,Manufacturing,Honda
Sarah O. Thomas,UK,100-300,Northern State University,Cloud,Healthcare,UnitedHealth Group
Wei D. Martin,Germany,100-300,Frankfurt Applied Science University,AI/ML,Manufacturing,Siemens
Sandra F. Kelly,India,300+,Technical Technology and Science,Core CS,Other,Government Agency
Mark J. Alvarez,India,100-300,Delhi Technology and Science,Cloud,Other,Global Logistics
Pamela V. Hall,India,300+,Technical Technology and Science,Data Science,Finance,General Corp
Margaret U. Thompson,Germany,300+,Berlin Regional University,Core CS,Consulting,Accenture
Christopher Q. Ross,USA,300+,Eastern Community College,Cloud,Manufacturing,Toyota
Kimberly Y. Evans,USA,100-300,Western State University,Core CS,Consulting,KPMG
Dorothy E. James,USA,300+,Eastern Community College,Cybersecurity,Tech,Meta
Ryan E. Morris,India,100-300,Delhi Technology and Science,Cybersecurity,Healthcare,Merck
Cynthia K. James,UK,300+,Imperial Higher Learning Center,Data Science,Finance,General Corp
Carl M. Johnson,Canada,300+,Northern Community College,Cloud,Manufacturing,Siemens
Alice K. Ramos,India,300+,Technical Technology and Science,AI/ML,Consulting,Oliver Wyman
Kevin M. Anderson,Germany,100-300,Frankfurt Applied Science University,Core CS,Other,Educational Institution
Susan I. Robinson,USA,Top 100,Federal Research University,AI/ML,Finance,General Corp
Jennifer S. Foster,Canada,300+,Northern Community College,Data Science,Manufacturing,Ford
James K. Ortiz,USA,Top 100,Federal Research University,Core CS,Consulting,McKinsey & Company
Stephen H. Phillips,USA,Top 100,Federal Research University,Cloud,Tech,Oracle
Alice A. Scott,USA,300+,Eastern Community College,Cloud,Consulting,EY
Dorothy B. Baker,UK,100-300,Northern State University,AI/ML,Other,Global Logistics
Donna F. Gray,Canada,300+,Northern Community College,AI/ML,Tech,IBM
Deborah A. Ross,India,100-300,Delhi Technology and Science,Data Science,Consulting,McKinsey & Company
Sharon K. Johnson,UK,300+,Imperial Higher Learning Center,Data Science,Consulting,Oliver Wyman
